feature,success_mean,failure_mean,success_std,failure_std,cohens_d,abs_cohens_d,effect_size,direction,p_value,significant
lines_removed,3.026315789473684,6.647058823529412,3.9693885573477696,30.372911429343485,-0.13136844987912683,0.13136844987912683,negligible,higher in failure,0.4649342176449296,False
explains_changes,0.02631578947368421,0.052941176470588235,0.16222142113076257,0.22457757073384294,-0.12400278401411188,0.12400278401411188,negligible,higher in failure,0.4903055591726009,False
mentions_issue_keywords,0.2631578947368421,0.21176470588235294,0.4462583499902144,0.4097659209714223,0.12337642546822344,0.12337642546822344,negligible,higher in success,0.4924971544118245,False
had_regression,0.02631578947368421,0.011764705882352941,0.16222142113076257,0.10814384974689345,0.12159243158067293,0.12159243158067293,negligible,higher in success,0.4987681408180077,False
has_explicit_reasoning,0.21052631578947367,0.16470588235294117,0.4131549501122744,0.37201065148361573,0.12066606604008452,0.12066606604008452,negligible,higher in success,0.5020412303655963,False
total_errors,3.3421052631578947,3.7294117647058824,1.9069760381928824,3.9144346294835253,-0.10650657774529708,0.10650657774529708,negligible,higher in failure,0.5534608978016018,False
recovered_errors,3.1315789473684212,3.488235294117647,1.8624461193959188,3.611680975797323,-0.10598467795557198,0.10598467795557198,negligible,higher in failure,0.5554046991317952,False
search_to_read_ratio,1.1035087719298244,0.9513596044478397,1.4595813598998926,1.5433704199414298,0.09953111474925423,0.09953111474925423,negligible,higher in success,0.5797144536855002,False
directories_explored,1.0263157894736843,0.9176470588235294,1.3653401141516066,1.1737943804076185,0.08977670511256666,0.08977670511256666,negligible,higher in success,0.6173835276873406,False
verification_steps,0.7368421052631579,0.8823529411764706,1.1551110985836486,1.7331557201922407,-0.08849022786690569,0.08849022786690569,negligible,higher in failure,0.6224311962914622,False
used_write_file,0.0,0.0058823529411764705,0.0,0.07669649888473705,-0.08467706513720588,0.08467706513720588,negligible,higher in failure,0.6374973122762186,False
trajectory_length,10.526315789473685,9.9,5.829732004898093,7.93960188589509,0.08236770856516219,0.08236770856516219,negligible,higher in success,0.6466962142844178,False
total_tool_calls,10.526315789473685,9.9,5.829732004898093,7.93960188589509,0.08236770856516219,0.08236770856516219,negligible,higher in success,0.6466962142844178,False
lines_added,6.684210526315789,9.188235294117646,17.779589365576893,33.36457892803236,-0.0803981452212318,0.0803981452212318,negligible,higher in failure,0.6545848888489221,False
hypothesizes_before_acting,0.02631578947368421,0.041176470588235294,0.16222142113076257,0.19928518273688955,-0.07693743530849112,0.07693743530849112,negligible,higher in failure,0.6685401404496719,False
unnecessary_steps,2.9473684210526314,3.2294117647058824,3.502488446812766,3.7637738687083755,-0.07585486883010717,0.07585486883010717,negligible,higher in failure,0.6729296593263933,False
reasoning_quality_score,0.13026315789473686,0.11500000000000002,0.21198529834420715,0.23956629945449245,0.06499076073602647,0.06499076073602647,negligible,higher in success,0.7175814833070111,False
max_stuck_duration,0.10526315789473684,0.07058823529411765,0.6488856845230503,0.5282153786584647,0.06283547890482527,0.06283547890482527,negligible,higher in success,0.7265624961370267,False
exploration_steps,6.842105263157895,7.223529411764706,5.440222152605653,6.594558399718325,-0.059573528112597814,0.059573528112597814,negligible,higher in failure,0.7402269074080612,False
optimal_length,7.105263157894737,7.0,2.102629932151387,2.1757131728816845,0.04867056114991461,0.04867056114991461,negligible,higher in success,0.7864793960238627,False
files_explored,2.3684210526315788,2.288235294117647,1.2610817456749335,2.3062514355451476,0.03718877701190779,0.03718877701190779,negligible,higher in success,0.8360186205300641,False
stuck_episodes,0.02631578947368421,0.03529411764705882,0.16222142113076257,0.2641076893292324,-0.03607207167611686,0.03607207167611686,negligible,higher in failure,0.8408753438763431,False
followed_test_after_change,0.23684210526315788,0.24705882352941178,0.43085148418274605,0.4325753989875737,-0.02363524282931916,0.02363524282931916,negligible,higher in failure,0.8953360156973394,False
verification_pct,0.0,0.0,0.0,0.0,0.0,0.0,negligible,higher in failure,,False
converged,0.0,0.0,0.0,0.0,0.0,0.0,negligible,higher in failure,,False
